Role,Location,companyActivity,Task,hoursSaved,moneySaved
Sales assistant,oslo,consulting,Creating consultant CVs adapted to position descriptions,1500,"120,000"
Social media manager,London,agency,"search content, create posts publish posts",100,"31,073"
Product Manager,San Francisco,building ai software,project management,240,"24,168"
Receptionist,"waco, tx","eye exams, optical shop","answer incoming calls, greet with name if existing client in database, set appointment, answer questions, etc.",1.92,37
Training customer support ,India,Customer support ,Trains human agents achieve proficiency faster with real customer chat training ,480,"50,286"
Receptionist,"waco, tx","eye exams, optical shop","answer incoming calls, greet with name if existing",1.92,51
Receptionist,"waco, tx","eye exams, optical shop","answer incoming calls, greet with name if existing",665.28,"17,607"
Receptionist,"waco, tx","eye exams, optical shop","answering incoming calls, greet with name if existing",3000,"76,220"
receptionist,"waco, tx","eye exams, optical shop","answer incoming calls, greet with name if existing",3600,"76,220"
Head of Sales,New York,Software b2b,Map SKUs to shipments,3600,"331,295"
VO docent,Nederland,Les geven aan VO leerlingen,Les materialen maken,192,"3,883"
Highschool teacher,Netherlands,Teaching high school students,Creating teaching materials,96,"1,807"
Receptionist,"waco, tx","eye exams, optical shop","answer incoming calls, greet with name if existing client in database, set appointment, answer questions, etc.",12,254
Receptionist,"waco, tx","eye exams, optical shop","answer incoming calls, greet with name if existing client in database, set appointment, answer questions, etc.",3600,"56,175"
marketing agency founder,france,marketing agency,copywriting for video sales letter (VSL),288,"14,418"
senior software engineer,sf,ai research,developting advanced software solutions,1200,"122,839"
Data Analyst,Delaware,manufacturing,Machine downtime analysis,384,"17,236"
Sales developper,Paris,My company sells software solutions,I need to automate my prospection,120,"2,784"
Instore grading agent,Paris,Mobile Network Operator,Help the customer evaluating smartphone residual value in store,240,"7,918"
Instore grading agent,Paris,Mobile Network Operator,Help the customer evaluating smartphone residual value in store,11998.8,"452,911"
Sales Person,Paraguay,Dropshipping,Sales process,360,"13,893"
Sales Person,Paraguay,Dropshipping,Sales process,1200,"55,242"
Mzchine Learning Engineer,Bremen Germany,"E,Commerce",Building Models for Predictions,144,"6,273"
Sales,Italy,We sell Cloud GPU for AI inferences,Sell GPUs Virtual machines,2880,"66,741"
Network Operations Manager,Washington,Healthcare,Automation,36,"2,384"
Senior Marketing Consultant,New York,Marketing agency,"answering incoming calls, greet with name if existing",120,"6,248"
Ceo,Apeldoorn,Automation,Pdf extraction from,558,"21,946"
Leverage Finance,London,Banking,Financial Modelling,540,"12,918"
Customer support,Nashville,Saas,Resolve tickets,300,"5,662"
Mental Health counselor,New York,Mental Health,Write Progress notes,180,"6,840"
Mental Health counselor,New York,Mental Health,Write Progress notes,720,"27,359"
Mental Health counselor,New York,Mental Health,Write Progress notes,480,"18,239"
Sales Manager,Madrid,Consulting,Search for new clients,1116,"40,784"
Customer technical assistance,London,Crypto trading Data and analytics,Helping customers improve their trading by using our data and analytics,3000,"92,281"
Senior Sales Manager,Rotterdam,AI Meeting Transcription,"Find leads on linked in, guage their interest and then send a personalized email that is bound to convert. ",480,"20,979"
HR Ops,Texas,Tech,"All onboarding scheduling, resources and data",60,"2,200"
Telephone answering and meeting scheduling ,Nashville,Doctors Office,Scheduling appointments,240,"4,912"
IT GUY,AU,IT,TICKET AUDITS,48,"2,289"
Senior Marketing Consultant,New York,Marketing agency,Create Tiktok videos to support marketing campaigns of clients,1152,"63,695"
admin,Birmingham UK,Accounting,Check client reciepts matches the excel sheets,300,"9,160"
Customer service,Nyc,Storage ,Talk to users on chat,192,"4,487"
Real Estate Broker,New York,Provide real estate brokerage services ,Automate bookings for clients that want to see homes ,240,"10,780"
Management Consultant,Munich,Data Transformation Consulting,Research,48,"2,024"
investing manager,Berlin,Investing,research,120,"5,060"
business development manager,brisbane,business growth,i want outbound lead prospecting to be done automatically,60,"3,584"
Penetration tester,Ukraine,Hacking web sites,Hacking web apps,2016,"249,142"
Wealth manager,California,Wealth management,Customer profile  generation,180,"10,276"
software engineer,mexico,software development,create software for different clients and industries ,1260,"46,086"
buyer of raw material,mexico,manufacturing sites,"ensure that we get the raw material on time to out manufacturing site, with the best price available",1200,"94,271"
Recruitment professional,Amsterdam,healthcare service,Screening and matching CV's against a skill profile,301.2,"11,334"
creative director,germany,creative advertising agency,brainstorming,12,457
Cold caller,Berlin,Online reputation management,Finding leads and cold calling them,1440,"37,000"
Short form content script writer for real estate agents,California,Create personal branding social media content for real estate agents in California,Script batches of short form videos ,480,"29,073"
Short form content script writer for real estate agents,California,Create personal branding social media content for real estate agents in California,Script batches of short form videos ,384,"16,968"
Short form content script writer for real estate agents,Philippines ,Create personal branding social media content for real estate agents in California,Script batches of short form videos ,384,"7,813"
Short Form Researcher and Scripter,Philippines,Create personal branding short form content for real estate agents in California,Researching and Scripting Short Form Videos for New and Recurring clients. ,96,"1,580"
,,,,,
Chief Marketing Officer,California,Create personal branding short form content for real estate agents in California,Scripting Short Form Videos,240,"30,368"
Secretary ,Rome,Personal training and rehab,Take new appointments and book events in the company calendar,576,"11,291"
Accounting assistant,"Stockholm, Sweden",Consulting business,"Adding invoices, receipts etc to the accounting system",960,"76,000"
M&A analyst,Paris,Advisors in M&A,We automate finding precedent comparables transactions for valuation purpose,600,"28,855"
prospecting analyser,"Oslo, Norway",We set up prospecting agents that does all the ground work and call preparation on autopilot,"searching the market to find relevant leads, enrich them with relevant information, check personal profiles as well as company profiles to create a personalized outreach plan. ",144,"29,505"
Dev ops Engineer,San Jose,Build webapps ,Deploy webapps in AWS,108,"9,044"
Customer care,Nairobi,Constuction,Taking client calls and answering questions,1920,"19,000"
Sales Manager,"Seattle, Washington",Help US food manufacturers expand to international markets,lead generation,384,"18,967"
boost sale,montreal,marketing firm,boost sale with qualify leads,120,"5,525"
boost sale,montreal,marketing firm,boost sale with qualify leads,240,"17,324"
boost sale,montreal,marketing firm,boost sale with qualify leads,600,"26,149"
Sales,New York,Selling,Selling,6,265
Sales,New York,Selling,Selling,42,"1,977"
trip advisor,offshore,general travel advice,Research all possible websites for the best price of hotel flight and car optionally,120,"3,121"
Customer Services,Auckland ,Landscaping,Reduce time spent answering customer inquires for landscaping quotes,30,"2,461"
Customer Services,Auckland ,Landscaping,Reduce time spent answering customer inquires for landscaping quotes,12,328
Customer Services,Auckland ,Landscaping,Reduce time spent answering customer inquires for landscaping quotes,120,"3,216"
Protocol Manager,Beirut,Health,Health Protocol Manager,2304,"152,043"
Financial tracking,Baghdad,Dessert shop,"It handles monthly all the costs and revenue for all the income, employee and then gives a revenue at the end of each month",1080,"47,308"
Customer Service Agent,Addis Ababa,Agency,Handle talking to customers though text and phone calls,2880,"29,000"
developper web,Paris,Create website and web app,check the code and validate it,12,424
Accounts Receivable ,New York,Retail,Process Monthly Invoices (AR / AP),1200,"46,125"
Supply manager,Nashville,Restaurant,"Reach out to 120 food suppliers and distributors via email requesting price quotes for ingredients. Once they provide the quote, negotiate with a subset of 10 suppliers to get the best price available for ingredients. Assume an average of 3 emails sent per provider",1.8,98
Senior Designer,Zurich,Branding,Design Corporate Design things,360,"20,881"
Ceo,Newy york,Pumbling,Schedule appointments ,24,"3,283"
Front desk ,Newy york,Dentistry,Schedule appointments ,90,"2,283"
Appointmet setter,Mumbai,Marketing,Appointment setting,54,"4,970"
Data Engineer,São Paulo,2GCV,create and mantain piplines and analys with the data with AWS and Databricks,1920,"5,920"
sales ,Hermosillo,sales,"Ask about user data, address, payment and upsells",6,"1,352"
Data entry,Iowa,Grocery store,Inventory and product orders,480,"9,035"
Receptionist,Washington,Doctor,Schedule appointments and reminder calls,1800,"55,274"
Customer Service Representative,Montreal,HVAC,"Receiving calls for the company, setting up appointments, connecting to the companies CRM. Ai Voice Agent",2160,"49,781"
busy dad,NYC,Sweet Home,grocery shopping,144,"3,260"
Customer service ,Copenhagen ,Sending lightbulbs,Ensure that packages is delivered correctly ,888,"37,358"
Head of department (transportation),National Institute of Technology Warangal,Educational Institute,Cab scheduler for students and faculties,720,"109,196"
"Full,Stack Developer",France,Web Agency,develop/support websites actualy online and develop app Mobile React Native ,1812,"42,599"
Copywriter,Boston,Digital services,"Translations, writing social media copy, writing descriptions and excerpts, writing original blog post content. ",1080,"42,164"
RTYUE,new york,Video editing agency,Project planning,120,"4,914"
